"fielder_name","player_id","team_name","primary_position","primary_position_name","total_throws","total_throws_1b","total_throws_2b","total_throws_3b","total_throws_ss","total_throws_lf","total_throws_cf","total_throws_rf","total_throws_inf","total_throws_of","max_arm_strength","arm_1b","arm_2b","arm_3b","arm_ss","arm_lf","arm_cf","arm_rf","arm_inf","arm_of","arm_overall"
"MJ Melendez","669004","NA","2",,"119","0","0","0","0","75","0","44","0","119","95.5",,,,,"93.5",,,,"93.2","93.2"
"P.J. Higgins","664731","NA","2",,"153","142","0","11","0","0","0","0","11","0","78.2","72.3",,,,,,,,,"72.3"
"Yuli Gurriel","493329","NA","3","First Baseman","463","463","0","0","0","0","0","0","0","0","79.8","77.2",,,,,,,,,"77.2"
"Franchy Cordero","614173","NA","3","First Baseman","292","222","0","0","0","29","4","37","0","70","91.7","75.3",,,,,,,,"85","85"
"Pete Alonso","624413","NA","3","First Baseman","555","555","0","0","0","0","0","0","0","0","83.1","78",,,,,,,,,"78"
"Joey Votto","458015","NA","3","First Baseman","271","271","0","0","0","0","0","0","0","0","78","76",,,,,,,,,"76"
"Jared Walsh","665120","NA","3","First Baseman","536","536","0","0","0","0","0","0","0","0","83.2","81.6",,,,,,,,,"81.6"
"Bobby Dalbec","666915","NA","3","First Baseman","606","544","3","52","7","0","0","0","62","0","88","74.8",,,,,,,,,"74.8"
"Anthony Rizzo","519203","NA","3","First Baseman","525","525","0","0","0","0","0","0","0","0","78.6","76.8",,,,,,,,,"76.8"
"Freddie Freeman","518692","NA","3","First Baseman","869","869","0","0","0","0","0","0","0","0","86.2","80.8",,,,,,,,,"80.8"
"Alfonso Rivas","663845","NA","3","First Baseman","334","332","0","0","0","2","0","0","0","2","80.7","74.9",,,,,,,,,"74.9"
"Nick Pratto","668472","NA","3","First Baseman","223","203","0","0","0","19","0","1","0","20","88.3","80.2",,,,,,,,,"80.2"
"Yoshi Tsutsugo","660294","NA","3","First Baseman","148","148","0","0","0","0","0","0","0","0","77.8","74.8",,,,,,,,,"74.8"
"Ryan Mountcastle","663624","NA","3","First Baseman","554","554","0","0","0","0","0","0","0","0","77.3","73.4",,,,,,,,,"73.4"
"Joey Meneses","608841","NA","3","First Baseman","220","159","0","0","0","3","0","58","0","61","91","77.7",,,,,,"85.6",,"85.2","85.2"
"Christian Walker","572233","NA","3","First Baseman","581","581","0","0","0","0","0","0","0","0","77.8","75.6",,,,,,,,,"75.6"
"Donovan Solano","456781","NA","3","First Baseman","182","100","28","54","0","0","0","0","82","0","79.3","74.1",,,,,,,"78.7",,"78.7"
"Carlos Santana","467793","NA","3","First Baseman","390","390","0","0","0","0","0","0","0","0","81.1","80.4",,,,,,,,,"80.4"
"Seth Brown","664913","NA","3","First Baseman","513","286","0","0","0","80","55","92","0","227","89","75.5",,,,"84.4","83.3","81.8",,"83.3","83.3"
"Rowdy Tellez","642133","NA","3","First Baseman","702","702","0","0","0","0","0","0","0","0","77.6","73.2",,,,,,,,,"73.2"
"Lewin Díaz","650331","NA","3","First Baseman","248","248","0","0","0","0","0","0","0","0","69.9","68.6",,,,,,,,,"68.6"
"C.J. Cron","543068","NA","3","First Baseman","458","458","0","0","0","0","0","0","0","0","89.9","82.8",,,,,,,,,"82.8"
"Luis Arraez","650333","NA","3","First Baseman","474","290","164","20","0","0","0","0","184","0","86.2","75.8","81.4",,,,,,"82.7",,"82.7"
"Eric Hosmer","543333","NA","3","First Baseman","563","563","0","0","0","0","0","0","0","0","82.3","77.7",,,,,,,,,"77.7"
"Spencer Torkelson","679529","NA","3","First Baseman","509","509","0","0","0","0","0","0","0","0","79.5","74.2",,,,,,,,,"74.2"
"Ji-Man Choi","596847","NA","3","First Baseman","324","324","0","0","0","0","0","0","0","0","74.6","73.3",,,,,,,,,"73.3"
"Jesús Aguilar","542583","NA","3","First Baseman","235","232","0","3","0","0","0","0","3","0","81","73.1",,,,,,,,,"73.1"
"Jose Miranda","669304","NA","3","First Baseman","451","385","0","66","0","0","0","0","66","0","82.3","74.7",,,,,,,,,"74.7"
"Vinnie Pasquantino","686469","NA","3","First Baseman","135","135","0","0","0","0","0","0","0","0","72.9","69.3",,,,,,,,,"69.3"
"Josh Naylor","647304","NA","3","First Baseman","381","369","0","0","0","0","0","12","0","12","92","79.1",,,,,,,,,"79.1"
"Paul Goldschmidt","502671","NA","3","First Baseman","677","677","0","0","0","0","0","0","0","0","72","66.9",,,,,,,,,"66.9"
"Vladimir Guerrero Jr.","665489","NA","3","First Baseman","607","607","0","0","0","0","0","0","0","0","91.9","86.8",,,,,,,,,"86.8"
"José Abreu","547989","NA","3","First Baseman","450","450","0","0","0","0","0","0","0","0","71.4","69.6",,,,,,,,,"69.6"
"Dermis Garcia","660650","NA","3","First Baseman","134","128","0","0","0","6","0","0","0","6","92.9","71",,,,,,,,,"71"
"Rhys Hoskins","656555","NA","3","First Baseman","669","669","0","0","0","0","0","0","0","0","79.4","75.4",,,,,,,,,"75.4"
"Harold Castro","605612","NA","3","First Baseman","482","233","72","84","87","6","0","0","243","6","78.1","71.9",,"76","74.8",,,,"76.1",,"76.1"
"Michael Chavis","656308","NA","3","First Baseman","559","501","39","19","0","0","0","0","58","0","91.1","84",,,,,,,,,"84"
"Nathaniel Lowe","663993","NA","3","First Baseman","683","683","0","0","0","0","0","0","0","0","82.2","80.3",,,,,,,,,"80.3"
"Keston Hiura","669374","NA","3","First Baseman","226","167","42","0","0","17","0","0","42","17","82.4","61.4",,,,,,,,,"61.4"
"Garrett Cooper","643265","NA","3","First Baseman","306","306","0","0","0","0","0","0","0","0","78.9","76.3",,,,,,,,,"76.3"
"Frank Schwindel","643524","NA","3","First Baseman","180","180","0","0","0","0","0","0","0","0","66","65.4",,,,,,,,,"65.4"
"Darin Ruf","573131","NA","3","First Baseman","207","152","0","0","0","39","0","16","0","55","87.9","68.6",,,,,,,,"80.9","80.9"
"Owen Miller","680911","NA","3","First Baseman","408","315","89","4","0","0","0","0","93","0","77.1","69.3","75.6",,,,,,"76.2",,"76.2"
"Brandon Belt","474832","NA","3","First Baseman","279","279","0","0","0","0","0","0","0","0","73.8","72.4",,,,,,,,,"72.4"
"Josh Bell","605137","NA","3","First Baseman","495","495","0","0","0","0","0","0","0","0","72.3","68",,,,,,,,,"68"
"Ty France","664034","NA","3","First Baseman","644","621","1","22","0","0","0","0","23","0","81.4","74.6",,,,,,,,,"74.6"
"Triston Casas","671213","NA","3","First Baseman","114","114","0","0","0","0","0","0","0","0","84.7","81",,,,,,,,,"81"
"Hunter Dozier","641531","NA","3","First Baseman","389","212","0","68","0","22","0","87","68","109","88.7","78.3",,,,,,"85.6",,"85.6","85.6"
"Matt Olson","621566","NA","3","First Baseman","837","837","0","0","0","0","0","0","0","0","75.2","72.8",,,,,,,,,"72.8"
"Ketel Marte","606466","NA","4","Second Baseman","425","0","425","0","0","0","0","0","425","0","89.3",,"83.8",,,,,,"83.8",,"83.8"
"Jazz Chisholm Jr.","665862","NA","4","Second Baseman","271","0","271","0","0","0","0","0","271","0","85.9",,"81",,,,,,"81",,"81"
"Whit Merrifield","593160","NA","4","Second Baseman","504","1","343","0","0","9","57","94","343","160","88.7",,"78",,,,"81.9","85","78","84","84"
"Marcus Semien","543760","NA","4","Second Baseman","723","0","638","0","85","0","0","0","723","0","84.9",,"78.5",,"80.8",,,,"79.2",,"79.2"
"Jake Hager","606993","NA","4","Second Baseman","110","0","66","20","24","0","0","0","110","0","86.1",,,,,,,,"82.5",,"82.5"
"Brendan Donovan","680977","NA","4","Second Baseman","403","32","140","97","35","52","0","47","272","99","91.9",,"79.2","84.2",,"81.7",,,"82.9","86.9","86.9"
"Yu Chang","644374","NA","4","Second Baseman","277","39","158","13","67","0","0","0","238","0","86.4",,"79.7",,,,,,"83.2",,"83.2"
"Christian Arroyo","624414","NA","4","Second Baseman","280","25","179","22","32","0","0","22","233","22","87",,"81.5",,,,,,"83.9",,"83.9"
"Cavan Biggio","624415","NA","4","Second Baseman","330","127","180","1","0","8","0","14","181","22","91.6","72","79.8",,,,,,"79.5",,"79.5"
"Adam Frazier","624428","NA","4","Second Baseman","567","0","474","0","15","38","2","38","489","78","89.7",,"78.8",,,,,,"78.7","86.5","86.5"
"Romy Gonzalez","663853","NA","4","Second Baseman","115","0","100","0","15","0","0","0","115","0","88.6",,"87.2",,,,,,"86.4",,"86.4"
"Gavin Lux","666158","NA","4","Second Baseman","435","0","359","0","26","50","0","0","385","50","86.6",,"76.4",,,"83.1",,,"76.1","83.1","83.1"
"Josh Harrison","543281","NA","4","Second Baseman","470","0","391","78","1","0","0","0","470","0","87.2",,"78.5","77.1",,,,,"78.3",,"78.3"
"Nick Madrigal","663611","NA","4","Second Baseman","286","0","286","0","0","0","0","0","286","0","84",,"78.7",,,,,,"78.7",,"78.7"
"Jean Segura","516416","NA","4","Second Baseman","436","0","435","0","1","0","0","0","436","0","91.7",,"86.5",,,,,,"86.5",,"86.5"
"Tony Kemp","643393","NA","4","Second Baseman","530","0","333","0","0","197","0","0","333","197","88.2",,"76.6",,,"82.2",,,"76.6","82.2","82.2"
"Andrés Giménez","665926","NA","4","Second Baseman","684","0","608","0","76","0","0","0","684","0","93.3",,"83.2",,"83.6",,,,"83.5",,"83.5"
"Jose Altuve","514888","NA","4","Second Baseman","461","0","461","0","0","0","0","0","461","0","78.4",,"74.6",,,,,,"74.6",,"74.6"
"Zach McKinstry","656716","NA","4","Second Baseman","209","0","93","69","37","3","0","7","199","10","90.6",,"86.6",,,,,,"87",,"87"
"Nicky Lopez","670032","NA","4","Second Baseman","745","0","377","74","294","0","0","0","745","0","87.8",,"80.4",,"84.3",,,,"83.6",,"83.6"
"Michael Massey","686681","NA","4","Second Baseman","244","0","241","3","0","0","0","0","244","0","78.8",,"77.2",,,,,,"77.2",,"77.2"
"Jake Cronenworth","630105","NA","4","Second Baseman","585","33","514","0","38","0","0","0","552","0","87.1",,"80.2",,,,,,"80.2",,"80.2"
"Brendan Rodgers","663898","NA","4","Second Baseman","636","0","636","0","0","0","0","0","636","0","91.3",,"80.3",,,,,,"80.3",,"80.3"
"Rougned Odor","596059","NA","4","Second Baseman","529","0","525","4","0","0","0","0","529","0","88.4",,"84.8",,,,,,"85",,"85"
"Alejo Lopez","664670","NA","4","Second Baseman","109","0","83","17","0","9","0","0","100","9","85",,"79.1",,,,,,"80.4",,"80.4"
"Robinson Canó","429664","NA","4","Second Baseman","83","0","83","0","0","0","0","0","83","0","80.1",,"76.3",,,,,,"76.3",,"76.3"
"César Hernández","514917","NA","4","Second Baseman","584","0","527","25","0","32","0","0","552","32","83",,"74.1",,,,,,"75.6",,"75.6"
"Chris Owings","572008","NA","4","Second Baseman","78","0","39","3","33","3","0","0","75","3","85.9",,,,,,,,"83.7",,"83.7"
"Santiago Espinal","669289","NA","4","Second Baseman","556","0","499","33","24","0","0","0","556","0","87.4",,"79",,,,,,"79.9",,"79.9"
"Buddy Kennedy","671083","NA","4","Second Baseman","122","0","116","6","0","0","0","0","122","0","84.9",,"80.2",,,,,,"79.3",,"79.3"
"Jonathan Schoop","570731","NA","4","Second Baseman","621","7","614","0","0","0","0","0","614","0","87.6",,"83.4",,,,,,"83.4",,"83.4"
"Luis Rengifo","650859","NA","4","Second Baseman","484","0","339","100","45","0","0","0","484","0","88.5",,"80.3","86.4",,,,,"85.2",,"85.2"
"Luis Guillorme","641645","NA","4","Second Baseman","383","0","281","71","31","0","0","0","383","0","86.8",,"79.9",,,,,,"80.3",,"80.3"
"Josh VanMeter","642165","NA","4","Second Baseman","229","67","154","8","0","0","0","0","162","0","82.4",,"75.9",,,,,,"77.9",,"77.9"
"Jeff McNeil","643446","NA","4","Second Baseman","561","0","449","0","0","87","0","25","449","112","90.9",,"80.4",,,"85.4",,,"80.4","86.1","86.1"
"Jonathan Villar","542340","NA","4","Second Baseman","212","0","122","79","11","0","0","0","212","0","89.2",,"81.6","85",,,,,"84.8",,"84.8"
"Tyler Wade","642180","NA","4","Second Baseman","224","0","106","37","53","7","5","16","196","28","90.9",,"75.2",,,,,,"80.7",,"80.7"
"Jonathan India","663697","NA","4","Second Baseman","298","0","298","0","0","0","0","0","298","0","84.8",,"80.8",,,,,,"80.8",,"80.8"
"Trevor Story","596115","NA","4","Second Baseman","426","0","426","0","0","0","0","0","426","0","79.5",,"76",,,,,,"76",,"76"
"Ozzie Albies","645277","NA","4","Second Baseman","198","0","198","0","0","0","0","0","198","0","78.3",,"75.2",,,,,,"75.2",,"75.2"
"Gleyber Torres","650402","NA","4","Second Baseman","548","0","537","0","11","0","0","0","548","0","84.5",,"79.8",,,,,,"79.7",,"79.7"
"Orlando Arcia","606115","NA","4","Second Baseman","253","0","230","12","1","10","0","0","243","10","90.3",,"82.1",,,,,,"83.2",,"83.2"
"Vidal Bruján","660644","NA","4","Second Baseman","179","0","123","2","24","0","0","30","149","30","92.5",,"81.2",,,,,,"84.1",,"84.1"
"Thairo Estrada","642731","NA","4","Second Baseman","652","0","456","4","169","23","0","0","629","23","83.8",,"75.4",,"80.6",,,,"78.2",,"78.2"
"Nolan Gorman","669357","NA","4","Second Baseman","369","0","369","0","0","0","0","0","369","0","87.7",,"80.2",,,,,,"80.2",,"80.2"
"Rodolfo Castro","666801","NA","4","Second Baseman","307","0","144","85","78","0","0","0","307","0","91.5",,"84.1","89.8","90.1",,,,"88.9",,"88.9"
"Abraham Toro","647351","NA","4","Second Baseman","366","4","234","128","0","0","0","0","362","0","87.5",,"80.8","84.3",,,,,"82.7",,"82.7"
"Jonah Bride","681146","NA","4","Second Baseman","204","17","125","62","0","0","0","0","187","0","81.8",,"77.2",,,,,,"79.3",,"79.3"
"Wilmer Flores","527038","NA","4","Second Baseman","477","128","231","118","0","0","0","0","349","0","87","74.3","78.7","81.6",,,,,"80.4",,"80.4"
"Matt Reynolds","608703","NA","4","Second Baseman","343","48","146","19","108","2","0","20","273","22","86.6",,"79.3",,"84.9",,,,"83.7",,"83.7"
"Yolmer Sánchez","570560","NA","4","Second Baseman","78","0","75","2","1","0","0","0","78","0","84.1",,"81.6",,,,,,"81.7",,"81.7"
"Kolten Wong","543939","NA","4","Second Baseman","559","0","557","0","2","0","0","0","559","0","79.4",,"72.7",,,,,,"72.7",,"72.7"
"Jorge Polanco","593871","NA","4","Second Baseman","518","0","499","0","19","0","0","0","518","0","87.5",,"79.6",,,,,,"79.7",,"79.7"
"Jon Berti","542932","NA","4","Second Baseman","377","0","198","111","24","39","5","0","333","44","85",,"77.5","78.8",,,,,"78.3",,"78.3"
"Leury Garcia","544725","NA","4","Second Baseman","343","0","198","12","79","13","12","29","289","54","90.9",,"80.8",,"81.4",,,,"82.5","86.7","86.7"
"Kevin Newman","621028","NA","4","Second Baseman","386","0","223","0","163","0","0","0","386","0","82.5",,"76.6",,"80.9",,,,"79.7",,"79.7"
"Brandon Lowe","664040","NA","4","Second Baseman","233","0","232","0","0","0","0","1","232","1","83.6",,"80.5",,,,,,"80.5",,"80.5"
"Hanser Alberto","593643","NA","4","Second Baseman","178","4","107","55","11","0","0","1","173","1","81.9",,"77.7",,,,,,"78.3",,"78.3"
"Charles Leblanc","641779","NA","4","Second Baseman","162","8","106","48","0","0","0","0","154","0","83.6",,"75.9",,,,,,"80.2",,"80.2"
"Vaughn Grissom","687093","NA","4","Second Baseman","183","0","175","0","8","0","0","0","183","0","80",,"77.1",,,,,,"77.2",,"77.2"
"David Fletcher","664058","NA","4","Second Baseman","314","0","178","0","136","0","0","0","314","0","85.1",,"74.8",,"79.2",,,,"78.6",,"78.6"
"Emmanuel Rivera","656896","NA","5","Third Baseman","281","10","0","271","0","0","0","0","271","0","91",,,"87",,,,,"87",,"87"
"Nate Eaton","681987","NA","5","Third Baseman","113","0","0","38","0","15","16","44","38","75","103.3",,,,,,,,,"98.1","98.1"
"Josh H. Smith","669701","NA","5","Third Baseman","205","0","6","106","26","67","0","0","138","67","95.4",,,"83.6",,"87.3",,,"83.4","87.3","87.3"
"Eugenio Suárez","553993","NA","5","Third Baseman","572","0","0","572","0","0","0","0","572","0","87.8",,,"84.5",,,,,"84.5",,"84.5"
"Maikel Franco","596748","NA","5","Third Baseman","362","9","0","353","0","0","0","0","353","0","88.8",,,"83",,,,,"83",,"83"
"Josh Rojas","668942","NA","5","Third Baseman","455","0","118","337","0","0","0","0","455","0","91.4",,"81.9","87",,,,,"86.5",,"86.5"
"Ezequiel Duran","677649","NA","5","Third Baseman","198","0","27","171","0","0","0","0","198","0","93.3",,,"90.4",,,,,"90.2",,"90.2"
"DJ LeMahieu","518934","NA","5","Third Baseman","441","107","163","171","0","0","0","0","334","0","84.2","71.2","78.8","80.9",,,,,"80.8",,"80.8"
"Ryan Kreidler","668952","NA","5","Third Baseman","120","0","10","42","68","0","0","0","120","0","89.6",,,,,,,,"85.6",,"85.6"
"Matt Duffy","622110","NA","5","Third Baseman","226","48","42","136","0","0","0","0","178","0","82.8",,,"81.4",,,,,"81.5",,"81.5"
"Justin Turner","457759","NA","5","Third Baseman","282","0","0","282","0","0","0","0","282","0","83.6",,,"81.8",,,,,"81.8",,"81.8"
"Austin Riley","663586","NA","5","Third Baseman","668","7","0","661","0","0","0","0","661","0","87.4",,,"83.7",,,,,"83.7",,"83.7"
"Jeimer Candelario","600869","NA","5","Third Baseman","365","0","0","365","0","0","0","0","365","0","84.3",,,"80.9",,,,,"80.9",,"80.9"
"Ernie Clement","676391","NA","5","Third Baseman","177","5","44","93","7","28","0","0","144","28","86.3",,,"83.2",,,,,"82.6",,"82.6"
"Ehire Adrianza","501303","NA","5","Third Baseman","98","0","28","49","7","14","0","0","84","14","91.4",,,,,,,,"84.9",,"84.9"
"Nolan Arenado","571448","NA","5","Third Baseman","461","0","0","461","0","0","0","0","461","0","89.2",,,"85",,,,,"85",,"85"
"Tyler Freeman","671289","NA","5","Third Baseman","81","0","15","34","32","0","0","0","81","0","84.2",,,,,,,,"82.9",,"82.9"
"Ryan McMahon","641857","NA","5","Third Baseman","513","0","51","462","0","0","0","0","513","0","94.3",,,"85.5",,,,,"85.8",,"85.8"
"Jordan Groshans","677954","NA","5","Third Baseman","76","0","0","76","0","0","0","0","76","0","86.2",,,"84.8",,,,,"84.8",,"84.8"
"Max Muncy","571970","NA","5","Third Baseman","453","5","118","330","0","0","0","0","448","0","88.8",,"79.2","81.2",,,,,"81.1",,"81.1"
"Alex Bregman","608324","NA","5","Third Baseman","569","0","0","569","0","0","0","0","569","0","84.1",,,"81.4",,,,,"81.4",,"81.4"
"José Ramírez","608070","NA","5","Third Baseman","444","0","0","444","0","0","0","0","444","0","84.5",,,"80.9",,,,,"80.9",,"80.9"
"Kevin Smith","675656","NA","5","Third Baseman","193","0","0","158","35","0","0","0","193","0","91.3",,,"86.8",,,,,"86.2",,"86.2"
"Jace Peterson","607054","NA","5","Third Baseman","262","20","3","199","0","6","0","34","202","40","92.6",,,"86.7",,,,,"86.5",,"86.5"
"Ke'Bryan Hayes","663647","NA","5","Third Baseman","538","0","0","534","4","0","0","0","538","0","85.8",,,"82",,,,,"82",,"82"
"Rafael Devers","646240","NA","5","Third Baseman","443","0","0","443","0","0","0","0","443","0","89.3",,,"85.2",,,,,"85.2",,"85.2"
