last_name, first_name,player_id,year,b_total_pa,hp_to_1b,
Pujols, Albert,405395,2022,351,5.08,
Cabrera, Miguel,408234,2022,433,5.13,
Molina, Yadier,425877,2022,270,5.07,
Cano, Robinson,429664,2022,104,4.74,
Suzuki, Kurt,435559,2022,159,5.01,
Cruz Jr., Nelson,443558,2022,507,4.81,
Peralta, David,444482,2022,490,4.44,
Escobar, Alcides,444876,2022,131,4.39,
Longoria, Evan,446334,2022,298,4.71,
Blackmon, Charlie,453568,2022,577,4.36,
Maldonado, Martin,455117,2022,379,5.05,
Chirinos, Robinson,455139,2022,220,5.11,
Cain, Lorenzo,456715,2022,156,4.4,
Solano, Donovan,456781,2022,304,4.62,
McCutchen, Andrew,457705,2022,580,4.38,
Upton, Justin,457708,2022,57,,
Turner, Justin,457759,2022,532,4.86,
Votto, Joey,458015,2022,376,4.75,
Andrus, Elvis,462101,2022,577,4.6,
Santana, Carlos,467793,2022,506,4.67,
Belt, Brandon,474832,2022,298,4.8,
Lowrie, Jed,476704,2022,184,4.92,
Brantley Jr., Michael,488726,2022,277,4.72,
Castro, Jason,488771,2022,88,4.54,
Gurriel, Yuli,493329,2022,584,4.45,
Rojas, Miguel,500743,2022,507,4.61,
Escobar, Eduardo,500871,2022,542,4.29,
Adrianza, Ehire,501303,2022,110,4.37,
Lagares, Juan,501571,2022,62,4.49,
Pham, Tommy,502054,2022,622,4.54,
Martinez, J.D.,502110,2022,596,4.68,
Goldschmidt, Paul,502671,2022,651,4.61,
Gonzalez, Marwin,503556,2022,207,4.55,
Leon, Sandy,506702,2022,86,,
Altuve, Jose,514888,2022,604,4.24,
Hernandez, Cesar,514917,2022,617,4.26,
Segura, Jean,516416,2022,387,4.32,
Marte, Starling,516782,2022,505,4.28,
Culberson, Charlie,518586,2022,124,4.33,
d'Arnaud, Travis,518595,2022,426,4.69,
Donaldson, Josh,518626,2022,546,4.59,
Freeman, Freddie,518692,2022,708,4.48,
Grandal, Yasmani,518735,2022,376,5.26,
Heyward, Jason,518792,2022,151,4.43,
LeMahieu, DJ,518934,2022,541,4.7,
Moustakas, Mike,519058,2022,285,4.77,
Rizzo, Anthony,519203,2022,548,4.65,
Romine, Austin,519222,2022,136,4.85,
Stanton, Giancarlo,519317,2022,452,5.08,
Vogt, Stephen,519390,2022,191,4.57,
Perez, Salvador,521692,2022,473,4.78,
Flores, Wilmer,527038,2022,602,4.71,
Garcia, Avisail,541645,2022,380,4.54,
Bethancourt, Christian,542194,2022,333,4.43,
Ozuna, Marcell,542303,2022,507,4.67,
Villar, Jonathan,542340,2022,220,4.42,
Ortega, Rafael,542364,2022,371,4.53,
Aguilar, Jesus,542583,2022,507,5.01,
Berti, Jon,542932,2022,404,4.26,
Crawford, Brandon,543063,2022,458,4.54,
Cron, C.J.,543068,2022,632,4.84,
Gomes, Yan,543228,2022,293,4.72,
Grossman, Robbie,543257,2022,477,4.39,
Harrison, Josh,543281,2022,425,4.49,
Hicks, Aaron,543305,2022,453,4.26,
Higashioka, Kyle,543309,2022,248,4.72,
Hosmer, Eric,543333,2022,419,4.57,
McCann, James,543510,2022,191,4.76,
Miller, Brad,543543,2022,241,4.44,
Nola, Austin,543592,2022,397,4.74,
Rendon, Anthony,543685,2022,193,4.69,
Semien, Marcus,543760,2022,724,4.37,
Springer III, George,543807,2022,583,4.37,
Strange-Gordon, Dee,543829,2022,59,4.13,
Vazquez, Christian,543877,2022,426,4.67,
Wong, Kolten,543939,2022,497,4.45,
Gregorius, Didi,544369,2022,232,4.38,
Garcia, Leury,544725,2022,315,4.18,
Vargas, Ildemaro,545121,2022,222,4.48,
Grichuk, Randal,545341,2022,538,4.5,
Marisnick, Jake,545350,2022,82,,
Stassi, Max,545358,2022,375,4.86,
Trout, Mike,545361,2022,499,4.3,
Herrera, Odubel,546318,2022,197,4.28,
Almora Jr., Albert,546991,2022,235,4.45,
Harper, Bryce,547180,2022,426,4.4,
Perez, Roberto,547379,2022,69,,
Abreu, Jose,547989,2022,679,4.65,
Diaz, Elias,553869,2022,381,4.64,
Narvaez, Omar,553882,2022,296,4.99,
Astudillo, Willians,553902,2022,55,4.76,
Suarez, Eugenio,553993,2022,629,4.83,
Urshela, Gio,570482,2022,551,4.54,
Schoop, Jonathan,570731,2022,510,4.61,
Arenado, Nolan,571448,2022,620,4.73,
Barnhart, Tucker,571466,2022,308,4.88,
Farmer, Kyle,571657,2022,583,4.58,
Haniger, Mitch,571745,2022,247,4.6,
Hernandez, Enrique,571771,2022,402,4.57,
Lamb, Jake,571875,2022,111,,
Maile, Luke,571912,2022,206,4.73,
Muncy, Max,571970,2022,565,4.43,
Myers, Wil,571976,2022,286,4.42,
Naquin, Tyler,571980,2022,334,4.44,
Owings, Chris,572008,2022,68,4.34,
Piscotty, Stephen,572039,2022,139,4.69,
Pollock, AJ,572041,2022,527,4.42,
Taylor, Michael A.,572191,2022,456,4.26,
Thompson, Trayce,572204,2022,255,4.47,
Voit III, Luke,572228,2022,568,4.96,
Walker, Christian,572233,2022,667,4.64,
Zunino, Mike,572287,2022,123,,
Carpenter, Matt,572761,2022,154,4.54,
Dickerson, Corey,572816,2022,297,4.35,
Ruf, Darin,573131,2022,388,4.78,
Yastrzemski, Mike,573262,2022,558,4.41,
Contreras, Willson,575929,2022,487,4.43,
Iglesias, Jose,578428,2022,467,4.24,
Bryant, Kris,592178,2022,181,4.47,
Canha, Mark,592192,2022,542,4.46,
Casali, Curt,592200,2022,176,4.99,
Castellanos, Nick,592206,2022,558,4.42,
Drury, Brandon,592273,2022,568,4.52,
Gamel, Ben,592325,2022,423,4.35,
Judge, Aaron,592450,2022,696,4.66,
Machado, Manny,592518,2022,644,4.71,
Moran, Colin,592567,2022,128,4.88,
Pederson, Joc,592626,2022,433,4.44,
Realmuto, J.T.,592663,2022,562,4.34,
Renfroe, Hunter,592669,2022,522,4.52,
Rosario, Eddie,592696,2022,270,4.27,
Simmons, Andrelton,592743,2022,85,4.54,
Yelich, Christian,592885,2022,671,4.37,
Merrifield, Whit,593160,2022,550,4.32,
Bogaerts, Xander,593428,2022,631,4.31,
Alberto, Hanser,593643,2022,159,4.53,
Polanco, Jorge,593871,2022,445,4.18,
Sano, Miguel,593934,2022,71,,
Calhoun, Kole,594777,2022,424,4.66,
Duvall, Adam,594807,2022,315,4.46,
Gosselin, Phil,594838,2022,77,4.35,
Kiermaier, Kevin,595281,2022,221,4.12,
Alfaro, Jorge,595751,2022,274,4.41,
Profar, Jurickson,595777,2022,658,4.47,
Baez, Javier,595879,2022,590,4.35,
Cave, Jake,595909,2022,177,4.31,
Hedges, Austin,595978,2022,338,4.95,
Lindor, Francisco,596019,2022,706,4.44,
Odor, Rougned,596059,2022,472,4.39,
Slater, Austin,596103,2022,325,4.37,
Story, Trevor,596115,2022,396,4.33,
Stubbs, Garrett,596117,2022,121,4.41,
Vogelbach, Daniel,596129,2022,461,4.9,
Sanchez, Gary,596142,2022,471,4.72,
Kepler, Max,596146,2022,446,4.34,
Quinn, Roman,596451,2022,87,,
Franco, Maikel,596748,2022,388,4.88,
Choi, Ji-Man,596847,2022,419,4.57,
Bradley Jr., Jackie,598265,2022,370,4.42,
La Stella, Tommy,600303,2022,195,4.67,
Candelario, Jeimer,600869,2022,467,4.51,
Daza, Yonathan,602074,2022,408,4.35,
Urias, Ramon,602104,2022,445,4.66,
Ahmed, Nick,605113,2022,54,4.47,
Anderson, Brian,605119,2022,383,4.44,
Barnes, Austin,605131,2022,212,4.66,
Bell, Josh,605137,2022,647,4.62,
Betts, Mookie,605141,2022,639,4.45,
Caratini, Victor,605170,2022,314,4.85,
Davis, J.D.,605204,2022,365,4.71,
Garcia, Aramis,605244,2022,115,4.69,
Machin, Vimael,605353,2022,253,4.71,
Perez, Michael,605421,2022,132,4.93,
Zimmer, Bradley,605548,2022,117,4.23,
Castro, Harold,605612,2022,443,4.5,
Arcia, Orlando,606115,2022,234,4.69,
Tapia, Raimel,606132,2022,433,4.27,
Aquino, Aristides,606157,2022,276,4.42,
Hernandez, Teoscar,606192,2022,535,4.33,
Mercedes, Yermin,606213,2022,83,,
Marte, Ketel,606466,2022,558,4.46,
Haase, Eric,606992,2022,351,4.5,
Hager, Jake,606993,2022,59,4.61,
Nimmo, Brandon,607043,2022,673,4.18,
Peterson, Jace,607054,2022,328,4.25,
Turner, Trea,607208,2022,708,4.13,
Stallings, Jacob,607732,2022,384,5.04,
Ramirez, Jose,608070,2022,685,4.22,
Bregman, Alex,608324,2022,656,4.62,
Gallo, Joey,608336,2022,410,4.58,
Kelly, Carson,608348,2022,354,4.82,
Seager, Corey,608369,2022,663,4.67,
Winker, Jesse,608385,2022,547,4.67,
Mazara, Nomar,608577,2022,171,4.57,
Jankowski, Travis,608671,2022,64,4.18,
Mayfield, Jack,608686,2022,74,4.42,
Plawecki, Kevin,608700,2022,186,4.91,
Refsnyder, Rob,608701,2022,177,4.47,
Reynolds, Matt,608703,2022,272,4.58,
Meneses, Joey,608841,2022,240,4.71,
Mondesi, Adalberto,609275,2022,54,,
Andujar, Miguel,609280,2022,140,4.51,
Vosler, Jason,613564,2022,111,4.55,
Cordero, Franchy,614173,2022,275,4.27,
Reyes, Franmil,614177,2022,473,4.8,
Torrens, Luis,620443,2022,166,4.79,
Swanson, Dansby,621020,2022,696,4.33,
Newman, Kevin,621028,2022,309,4.39,
Taylor, Chris,621035,2022,454,4.35,
Correa, Carlos,621043,2022,590,4.58,
Phillips, Brett,621433,2022,225,4.15,
Taylor, Tyrone,621438,2022,405,4.5,
Buxton, Byron,621439,2022,382,4.16,
Bolt, Skye,621450,2022,116,4.45,
Duggar, Steven,621453,2022,80,,
Rios, Edwin,621458,2022,92,4.62,
Ward, Taylor,621493,2022,564,4.4,
Nido, Tomas,621512,2022,313,4.82,
Bemboom, Anthony,621532,2022,59,4.52,
Wisdom, Patrick,621550,2022,534,4.5,
Wendle, Joey,621563,2022,371,4.29,
Olson, Matt,621566,2022,699,4.64,
Duffy, Matt,622110,2022,247,4.56,
Munoz, Yairo,622168,2022,60,4.33,
Walton, Donovan,622268,2022,78,4.32,
Margot, Manuel,622534,2022,363,4.34,
Camargo, Johan,622666,2022,166,4.72,
Reyes, Victor,622682,2022,336,4.5,
Mateo, Jorge,622761,2022,533,4.2,
Heineman, Tyler,623168,2022,174,4.45,
Velazquez, Andrew,623205,2022,349,4.23,
Bote, David,623520,2022,127,4.5,
Ramirez, Harold,623912,2022,435,4.33,
Santander, Anthony,623993,2022,647,4.67,
Alonso, Pete,624413,2022,685,4.67,
Arroyo, Christian,624414,2022,300,4.42,
Biggio, Cavan,624415,2022,303,4.35,
Frazier, Adam,624428,2022,602,4.4,
Trevino, Jose,624431,2022,353,4.68,
Gordon, Nick,624503,2022,443,4.41,
McGuire, Reese,624512,2022,274,4.51,
Soler, Jorge,624585,2022,306,4.66,
Sosa, Edmundo,624641,2022,190,4.32,
Heredia, Guillermo,628338,2022,82,4.38,
Hernandez, Yadiel,628450,2022,327,4.62,
Ibanez, Andy,628451,2022,128,4.41,
Cronenworth, Jake,630105,2022,684,4.34,
Meadows, Austin,640457,2022,147,4.4,
Mercado, Oscar,640458,2022,128,4.41,
Pinder, Chad,640461,2022,379,4.7,
Azocar, Jose,640492,2022,216,4.34,
Anderson, Tim,641313,2022,351,4.32,
Bellinger, Cody,641355,2022,550,4.24,
Calhoun, Willie,641432,2022,62,,
Collins, Zack,641470,2022,108,,
Crawford, J.P.,641487,2022,603,4.44,
Davis, Jonathan,641505,2022,91,4.41,
Delay, Jason,641511,2022,167,4.74,
Demeritte, Travis,641513,2022,96,4.46,
Dozier, Hunter,641531,2022,500,4.49,
Engel, Adam,641553,2022,260,4.2,
Fraley, Jake,641584,2022,247,4.26,
Garver, Mitch,641598,2022,215,4.68,
Guillorme, Luis,641645,2022,335,4.52,
Hampson, Garrett,641658,2022,226,4.25,
Heim, Jonah,641680,2022,450,4.79,
Hermosillo, Michael,641684,2022,73,,
Leblanc, Charles,641779,2022,169,4.33,
Lewis, Kyle,641786,2022,62,4.97,
Mancini III, Trey,641820,2022,587,4.78,
McKinney, Billy,641856,2022,57,4.44,
McMahon, Ryan,641857,2022,597,4.61,
Neuse, Sheldon,641914,2022,293,4.63,
O'Neill, Tyler,641933,2022,383,4.28,
Robinson, Chuckie,642020,2022,60,4.61,
Smith, Dominic,642086,2022,152,4.52,
Tellez, Rowdy,642133,2022,599,4.83,
Thaiss, Matt,642136,2022,81,4.88,
VanMeter, Josh,642165,2022,192,4.62,
Wade, Tyler,642180,2022,163,4.16,
White, Eli,642201,2022,117,4.11,
Mejia, Francisco,642336,2022,299,4.42,
Siri, Jose,642350,2022,325,4.2,
Sierra, Magneuris,642423,2022,96,4.07,
Barrera, Luis,642456,2022,85,4.22,
Rosario, Amed,642708,2022,670,4.17,
Adames, Willy,642715,2022,617,4.41,
Alcantara, Sergio,642727,2022,224,4.43,
Estrada, Thairo,642731,2022,541,4.3,
Wynns, Austin,642851,2022,177,4.87,
Benintendi, Andrew,643217,2022,521,4.38,
Cooper, Garrett,643265,2022,469,4.66,
Dubon, Mauricio,643289,2022,265,4.28,
Jansen, Danny,643376,2022,248,4.51,
Kemp, Tony,643393,2022,558,4.46,
Kiner-Falefa, Isiah,643396,2022,531,4.27,
McNeil, Jeff,643446,2022,589,4.17,
Schwindel, Frank,643524,2022,292,4.67,
Chang, Yu,644374,2022,190,4.52,
Albies, Ozzie,645277,2022,269,4.2,
Robles, Victor,645302,2022,407,4.36,
Herrera, Jose,645444,2022,124,4.64,
Ford, Mike,645801,2022,149,4.79,
Devers, Rafael,646240,2022,614,4.57,
Naylor, Josh,647304,2022,498,4.64,
Toro, Abraham,647351,2022,352,4.31,
Diaz, Aledmys,649557,2022,327,4.33,
Urias, Luis,649966,2022,472,4.63,
Diaz, Lewin,650331,2022,174,4.76,
Arraez, Luis,650333,2022,603,4.49,
Palacios, Jermaine,650339,2022,77,4.45,
Jimenez, Eloy,650391,2022,327,4.62,
Torres, Gleyber,650402,2022,572,4.51,
Castro, Willi,650489,2022,392,4.29,
Diaz, Yandy,650490,2022,558,4.53,
De La Cruz, Bryan,650559,2022,355,4.52,
Viloria, Meibrys,650619,2022,75,,
Rengifo, Luis,650859,2022,511,4.31,
Pinto, Rene,650907,2022,83,4.46,
Adams, Riley,656180,2022,155,4.62,
Allen, Greg,656185,2022,134,4.47,
Bouchard, Sean,656248,2022,97,,
Chapman, Matt,656305,2022,621,4.44,
Chavis, Michael,656308,2022,426,4.36,
Fairchild, Stuart,656413,2022,110,4.26,
Garrett, Stone,656448,2022,84,4.46,
Hill, Derek,656537,2022,92,4.23,
Hilliard, Sam,656541,2022,200,4.2,
Hoskins, Rhys,656555,2022,672,4.74,
Joe, Connor,656582,2022,467,4.57,
Luplow, Jordan,656669,2022,234,4.45,
Matijevic, J.J.,656695,2022,71,4.35,
McKinstry, Zach,656716,2022,185,4.31,
Mullins II, Cedric,656775,2022,672,4.16,
O'Hearn, Ryan,656811,2022,145,4.54,
Rivera, Emmanuel,656896,2022,359,4.68,
Schwarber, Kyle,656941,2022,669,4.51,
Smith, Pavin,656976,2022,277,4.57,
Thomas, Lane,657041,2022,548,4.38,
Tucker, Cole,657061,2022,63,4.35,
Verdugo, Alex,657077,2022,644,4.38,
Wong, Connor,657136,2022,56,4.33,
DeJong, Paul,657557,2022,237,4.47,
Laureano, Ramon,657656,2022,383,4.43,
Papierski, Michael,657709,2022,103,4.84,
Sheets, Gavin,657757,2022,410,4.52,
Olivares, Edward,658668,2022,174,4.36,
Moncada, Yoan,660162,2022,433,4.39,
Ohtani, Shohei,660271,2022,666,4.09,
Tsutsugo, Yoshi,660294,2022,193,4.47,
Castillo, Diego,660636,2022,283,4.57,
Brujan, Vidal,660644,2022,162,4.28,
Garcia, Dermis,660650,2022,125,4.65,
Acuna Jr., Ronald,660670,2022,533,4.27,
Ruiz, Keibert,660688,2022,433,4.77,
Montero, Elehuris,660707,2022,185,4.66,
Gonzalez, Oscar,660757,2022,382,4.35,
Yepez, Juan,660766,2022,274,4.66,
Sanchez, Jesus,660821,2022,343,4.48,
Park, Hoy,660829,2022,60,4.3,
Contreras, William,661388,2022,376,4.52,
Serven, Brian,661531,2022,205,4.52,
Varsho, Daulton,662139,2022,592,4.28,
Nootbaar, Lars,663457,2022,347,4.28,
Nevin, Tyler,663527,2022,184,4.75,
Hoerner, Nico,663538,2022,517,4.28,
Riley, Austin,663586,2022,693,4.5,
Madrigal, Nick,663611,2022,228,4.37,
Larnach, Trevor,663616,2022,180,4.48,
Mountcastle, Ryan,663624,2022,609,4.51,
McKenna, Ryan,663630,2022,172,4.2,
Hayes, Ke'Bryan,663647,2022,560,4.41,
Tucker, Kyle,663656,2022,609,4.54,
Cameron, Daz,663662,2022,70,4.41,
India, Jonathan,663697,2022,431,4.46,
Bart, Joey,663698,2022,291,4.61,
Raleigh, Cal,663728,2022,415,4.58,
Fortes, Nick,663743,2022,240,4.48,
Grisham, Trent,663757,2022,524,4.35,
Vierling, Matt,663837,2022,357,4.34,
Rivas III, Alfonso,663845,2022,287,4.63,
Gonzalez, Romy,663853,2022,109,4.38,
Stephenson, Tyler,663886,2022,183,4.64,
Williams, Luke,663897,2022,136,4.23,
Rodgers, Brendan,663898,2022,581,4.52,
Lowe, Nathaniel,663993,2022,645,4.39,
Happ, Ian,664023,2022,641,4.32,
Mathias, Mark,664029,2022,91,4.43,
France, Ty,664034,2022,613,4.88,
Lowe, Brandon,664040,2022,266,4.37,
Bader, Harrison,664056,2022,313,4.26,
Fletcher, David,664058,2022,228,4.48,
Haggerty, Sam,664059,2022,201,4.33,
Moore, Dylan,664238,2022,255,4.4,
Garlick, Kyle,664247,2022,162,4.68,
Lopez, Alejo,664670,2022,156,4.4,
Straw, Myles,664702,2022,596,4.14,
Isbel, Kyle,664728,2022,278,4.34,
Higgins, P.J.,664731,2022,229,4.51,
Bohm, Alec,664761,2022,631,4.6,
Wade Jr., LaMonte,664774,2022,251,4.67,
Mazeika, Patrick,664850,2022,72,4.71,
Zavala, Seby,664874,2022,205,4.72,
Mendick, Danny,664901,2022,106,4.64,
Brown, Seth,664913,2022,555,4.51,
McCarthy, Jake,664983,2022,354,4.21,
Clemens, Kody,665019,2022,127,4.47,
Walsh, Jared,665120,2022,454,4.55,
Maton, Nick,665155,2022,85,,
Pena, Jeremy,665161,2022,558,4.28,
Celestino, Gilberto,665482,2022,347,4.5,
Guerrero Jr., Vladimir,665489,2022,706,4.56,
Pache, Cristian,665506,2022,260,4.39,
Soto, Juan,665742,2022,664,4.4,
Taveras, Leody,665750,2022,341,4.21,
Cabrera, Oswaldo,665828,2022,171,4.46,
Cruz, Oneil,665833,2022,361,4.2,
Chisholm Jr., Jazz,665862,2022,241,4.18,
Gimenez, Andres,665926,2022,557,4.13,
Aranda, Jonathan,666018,2022,87,4.57,
Jones, Nolan,666134,2022,94,4.41,
Kirilloff, Alex,666135,2022,156,4.32,
Lowe, Josh,666139,2022,198,4.21,
Lux, Gavin,666158,2022,471,4.19,
Moniak, Mickey,666160,2022,112,4.32,
Adell, Jo,666176,2022,285,4.31,
Beer, Seth,666179,2022,126,4.82,
Benson, Will,666181,2022,61,4.33,
Bichette, Bo,666182,2022,697,4.5,
Carlson, Dylan,666185,2022,488,4.32,
Trammell, Taylor,666211,2022,117,4.33,
Encarnacion, Jerar,666464,2022,81,4.48,
Morel, Christopher,666624,2022,425,4.38,
Castro, Rodolfo,666801,2022,278,4.45,
Dalbec, Bobby,666915,2022,353,4.49,
Garcia, Adolis,666969,2022,657,4.35,
Gurriel Jr., Lourdes,666971,2022,493,4.44,
Arozarena, Randy,668227,2022,645,4.27,
Pratto, Nick,668472,2022,182,4.4,
Barrera, Tres,668663,2022,53,,
Bleday, JJ,668709,2022,238,4.41,
Steer, Spencer,668715,2022,108,4.53,
Baddoo, Akil,668731,2022,225,4.12,
Mitchell, Cal,668751,2022,232,4.71,
Knizner, Andrew,668800,2022,293,4.69,
Reynolds, Bryan,668804,2022,614,4.34,
Capel, Conner,668843,2022,59,4.31,
Rutschman, Adley,668939,2022,470,4.4,
Rojas, Josh,668942,2022,510,4.37,
Kreidler, Ryan,668952,2022,84,4.38,
Mitchell, Garrett,669003,2022,68,4.01,
Melendez Jr., MJ,669004,2022,534,4.21,
Marsh, Brandon,669016,2022,461,4.27,
Stowers, Kyle,669065,2022,98,4.55,
Huff, Sam,669087,2022,132,4.6,
Langeliers, Shea,669127,2022,153,4.49,
Campusano, Luis,669134,2022,50,4.79,
Murphy, Sean,669221,2022,612,4.62,
Senzel, Nick,669222,2022,420,4.41,
Edman, Tommy,669242,2022,630,4.25,
Solak, Nick,669256,2022,95,4.4,
Smith, Will,669257,2022,578,4.5,
Suwinski, Jack,669261,2022,372,4.32,
Espinal, Santiago,669289,2022,491,4.38,
Miranda, Jose,669304,2022,483,4.61,
Thompson, Bubba,669352,2022,181,4.16,
Gorman, Nolan,669357,2022,313,4.38,
Hiura, Keston,669374,2022,266,4.62,
Burger, Jake,669394,2022,183,4.5,
Allen, Nick,669397,2022,326,4.42,
Hummel, Cooper,669450,2022,201,4.31,
Smith, Josh H.,669701,2022,253,4.32,
Hays, Austin,669720,2022,582,4.36,
Hall, Darick,669742,2022,142,4.75,
Call, Alex,669743,2022,131,4.37,
Toglia, Michael,669911,2022,120,,
Lopez, Nicky,670032,2022,480,4.24,
Raley, Luke,670042,2022,72,,
Wallner, Matt,670242,2022,65,4.32,
Stevenson, Cal,670276,2022,71,,
Rojas, Jose,670351,2022,57,,
Alvarez, Yordan,670541,2022,561,4.53,
Paredes, Isaac,670623,2022,381,4.75,
Brosseau, Mike,670712,2022,160,4.49,
Walls, Taylor,670764,2022,466,4.23,
Gonzalez, Luis,670768,2022,350,4.25,
Friedl Jr., TJ,670770,2022,258,4.26,
Soto, Livan,670869,2022,59,,
Kennedy, Buddy,671083,2022,94,4.27,
Casas, Triston,671213,2022,95,4.63,
Waters, Drew,671221,2022,109,,
Garcia, Luis,671277,2022,377,4.28,
Freeman, Tyler,671289,2022,86,4.4,
Harris II, Michael,671739,2022,441,4.21,
Kelenic, Jarred,672284,2022,181,4.39,
Arias, Gabriel,672356,2022,57,4.45,
Kirk, Alejandro,672386,2022,541,4.89,
Diaz, Jordan,672478,2022,51,4.78,
Moreno, Gabriel,672515,2022,73,4.33,
Perdomo, Geraldo,672695,2022,500,4.48,
Peraza, Oswald,672724,2022,57,4.31,
Marcano, Tucupita,672779,2022,177,4.27,
Robert, Luis,673357,2022,401,4.38,
Kim, Ha-Seong,673490,2022,582,4.4,
Suzuki, Seiya,673548,2022,446,4.33,
Jung, Josh,673962,2022,102,4.57,
Smith, Kevin,675656,2022,151,4.48,
Velazquez, Nelson,676369,2022,206,4.43,
Clement, Ernie,676391,2022,179,4.32,
Burleson, Alec,676475,2022,53,4.56,
Barrero, Jose,676480,2022,174,4.49,
Contreras, Mark,676628,2022,61,4.35,
Madris, Bligh,676632,2022,123,4.38,
Meyers, Jake,676694,2022,160,4.35,
Trejo, Alan,676701,2022,125,4.7,
McCormick, Chas,676801,2022,407,4.26,
MacKinnon, David,676950,2022,57,,
Franco, Wander,677551,2022,344,4.29,
Rodriguez, Julio,677594,2022,560,4.24,
Duran, Ezequiel,677649,2022,220,4.34,
Thomas, Alek,677950,2022,411,4.13,
Witt Jr., Bobby,677951,2022,632,4.13,
Groshans, Jordan,677954,2022,65,4.58,
Vargas, Miguel,678246,2022,50,,
Torkelson, Spencer,679529,2022,404,4.54,
Vavra, Terrin,679631,2022,103,4.53,
Palacios, Richie,680700,2022,123,4.35,
Kwan, Steven,680757,2022,638,4.16,
Duran, Jarren,680776,2022,223,4.13,
Jeffers, Ryan,680777,2022,236,4.73,
Burdick, Peyton,680814,2022,102,4.43,
Miller, Owen,680911,2022,472,4.3,
Donovan, Brendan,680977,2022,468,4.38,
Stott, Bryson,681082,2022,466,4.21,
Bride, Jonah,681146,2022,187,4.52,
Carpenter, Kerry,681481,2022,113,4.42,
Villar, David,681584,2022,181,4.59,
Eaton, Nate,681987,2022,122,4.17,
Abrams, CJ,682928,2022,302,4.21,
Greene, Riley,682985,2022,418,4.29,
Carroll, Corbin,682998,2022,115,4.05,
Henderson, Gunnar,683002,2022,132,4.19,
Stefanic, Michael,683021,2022,69,4.59,
Vaughn, Andrew,683734,2022,555,4.71,
Pasquantino, Vinnie,686469,2022,298,4.73,
Massey, Michael,686681,2022,194,4.47,
Grissom, Vaughn,687093,2022,156,4.47,
